player_id,season_avg_points,season_avg_rebounds,season_avg_assists,last_10_avg_points,last_5_avg_points,last_5_avg_rebounds,last_5_avg_assists,home_vs_away,games_played,rest_days,actual_points,actual_rebounds,actual_assists
1630174,12.8,3.533333333333333,1.1333333333333333,13.1,13.2,3.2,1.0,1,15,1,19,2,1
1630174,13.1875,3.4375,1.125,13.5,14.4,3.4,1.0,0,16,0,14,5,0
1630174,13.235294117647058,3.5294117647058822,1.0588235294117647,14.1,14.8,4.2,0.8,1,17,1,3,3,2
1630174,12.666666666666666,3.5,1.1111111111111112,12.2,13.0,4.2,1.0,0,18,2,10,5,2
1630174,12.526315789473685,3.5789473684210527,1.1578947368421053,11.8,11.6,4.2,1.4,0,19,1,12,5,1
1630174,12.5,3.65,1.15,12.4,11.6,4.0,1.2,1,20,1,25,1,2
1630174,13.095238095238095,3.5238095238095237,1.1904761904761905,13.6,12.8,3.8,1.4,0,21,7,17,6,1
1630174,13.272727272727273,3.6363636363636362,1.1818181818181819,14.1,13.4,4.0,1.6,1,22,0,6,4,2
1630174,12.956521739130435,3.652173913043478,1.2173913043478262,13.5,14.0,4.2,1.6,0,23,1,22,8,4
1630174,13.333333333333334,3.8333333333333335,1.3333333333333333,14.0,16.4,4.8,2.0,1,24,1,10,1,1
1630174,13.2,3.72,1.32,13.8,16.0,4.0,2.0,1,25,1,13,4,1
1630174,13.192307692307692,3.730769230769231,1.3076923076923077,13.2,13.6,4.6,1.8,0,26,1,13,3,0
1630174,13.185185185185185,3.7037037037037037,1.2592592592592593,13.1,12.8,4.0,1.6,0,27,1,21,3,1
1630174,13.464285714285714,3.6785714285714284,1.25,14.9,15.8,3.8,1.4,0,28,1,8,2,1
1630174,13.275862068965518,3.6206896551724137,1.2413793103448276,14.7,13.0,2.6,0.8,0,29,0,4,5,0
1630174,12.966666666666667,3.6666666666666665,1.2,13.9,11.8,3.4,0.6,1,30,1,9,4,2
1630174,12.838709677419354,3.6774193548387095,1.2258064516129032,12.3,11.0,3.4,0.8,1,31,1,15,2,3
1630174,12.90625,3.625,1.28125,12.1,11.4,3.2,1.4,1,32,0,8,4,0
1630174,12.757575757575758,3.6363636363636362,1.2424242424242424,12.3,8.8,3.4,1.2,1,33,1,17,4,2
1630174,12.882352941176471,3.6470588235294117,1.2647058823529411,11.8,10.6,3.8,1.4,1,34,1,10,3,1
1630174,12.8,3.6285714285714286,1.2571428571428571,11.8,11.8,3.4,1.6,0,35,1,13,4,0
1630174,12.805555555555555,3.638888888888889,1.2222222222222223,11.8,12.6,3.4,1.2,0,36,6,12,4,2
1630174,12.783783783783784,3.6486486486486487,1.2432432432432432,11.7,12.0,3.8,1.0,0,37,1,6,3,1
1630174,12.605263157894736,3.6315789473684212,1.236842105263158,10.2,11.6,3.6,1.2,1,38,1,13,9,0
1630174,12.615384615384615,3.769230769230769,1.205128205128205,10.7,10.8,4.6,0.8,1,39,1,16,8,3
1630174,12.7,3.875,1.25,11.9,12.0,5.6,1.2,1,40,0,22,6,3
1630174,12.926829268292684,3.926829268292683,1.2926829268292683,13.2,13.8,6.0,1.8,1,41,1,16,7,6
1630174,13.0,4.0,1.4047619047619047,13.3,14.6,6.6,2.6,0,42,1,26,12,7
1630174,13.30232558139535,4.186046511627907,1.5348837209302326,15.1,18.6,8.4,3.8,0,43,7,9,3,3
1630174,13.204545454545455,4.159090909090909,1.5681818181818181,14.3,17.8,7.2,4.4,0,44,1,4,1,2
1630174,13.0,4.088888888888889,1.5777777777777777,13.7,15.4,5.8,4.2,0,45,1,6,1,2
1630174,12.847826086956522,4.021739130434782,1.5869565217391304,13.0,12.2,4.8,4.0,1,46,1,8,4,1
1630174,12.74468085106383,4.0212765957446805,1.574468085106383,12.6,10.6,4.2,3.0,0,47,2,16,5,1
1630174,12.8125,4.041666666666667,1.5625,13.6,8.6,2.8,1.8,0,48,1,15,4,1
1630174,12.857142857142858,4.040816326530612,1.5510204081632653,13.8,9.8,3.0,1.4,1,49,0,13,4,1
1630174,12.86,4.04,1.54,13.5,11.6,3.6,1.2,1,50,2,16,4,3
1630174,12.92156862745098,4.03921568627451,1.5686274509803921,12.9,13.6,4.2,1.4,1,51,1,9,4,2
1630174,12.846153846153847,4.038461538461538,1.5769230769230769,12.2,13.8,4.2,1.6,0,52,1,14,1,0
1630174,12.867924528301886,3.981132075471698,1.5471698113207548,11.0,13.4,3.4,1.4,0,53,1,8,3,2
1630174,12.777777777777779,3.962962962962963,1.5555555555555556,10.9,12.0,3.2,1.6,0,54,1,13,3,4
1630174,12.781818181818181,3.9454545454545453,1.6,11.8,12.0,3.0,2.2,0,55,2,6,5,3
1630174,12.660714285714286,3.9642857142857144,1.625,11.8,10.0,3.2,2.2,1,56,1,12,4,2
1630174,12.649122807017545,3.9649122807017543,1.631578947368421,12.2,10.6,3.2,2.2,0,57,0,9,1,1
1630174,12.586206896551724,3.913793103448276,1.6206896551724137,11.5,9.6,3.2,2.4,1,58,1,13,5,0
1630174,12.59322033898305,3.9322033898305087,1.5932203389830508,11.3,10.6,3.6,2.0,1,59,0,4,2,1
1630174,12.45,3.9,1.5833333333333333,10.4,8.8,3.4,1.4,1,60,1,15,2,2
1630174,12.491803278688524,3.8688524590163933,1.5901639344262295,10.3,10.6,2.8,1.2,1,61,1,24,2,0
1630174,12.67741935483871,3.838709677419355,1.564516129032258,11.8,13.0,2.4,0.8,1,62,0,6,1,0
1630174,12.571428571428571,3.7936507936507935,1.5396825396825398,11.0,12.4,2.4,0.6,0,63,2,8,4,3
1630174,12.5,3.796875,1.5625,11.0,11.4,2.2,1.2,0,64,1,6,4,2
1630174,12.4,3.8,1.5692307692307692,10.3,11.8,2.6,1.4,1,65,4,0,1,0
1630174,12.212121212121213,3.757575757575758,1.5454545454545454,9.7,8.8,2.4,1.0,0,66,1,17,1,1
1630174,12.283582089552239,3.716417910447761,1.537313432835821,10.2,7.4,2.2,1.2,1,67,5,7,3,0
1630174,12.205882352941176,3.7058823529411766,1.5147058823529411,10.0,7.6,2.6,1.2,0,68,2,9,5,1
1630174,12.159420289855072,3.7246376811594204,1.5072463768115942,9.6,7.8,2.8,0.8,1,69,0,7,5,1
1630174,12.085714285714285,3.742857142857143,1.5,9.9,8.0,3.0,0.6,0,70,2,26,9,0
1630174,12.28169014084507,3.816901408450704,1.4788732394366197,11.0,13.2,4.6,0.6,1,71,1,5,4,3
202692,4.4,1.6,0.6,4.4,7.2,1.8,0.0,0,10,1,6,2,2
202692,4.545454545454546,1.6363636363636365,0.7272727272727273,5.0,5.6,1.6,0.4,1,11,2,5,1,0
202692,4.583333333333333,1.5833333333333333,0.6666666666666666,5.5,3.8,1.8,0.4,0,12,1,5,1,2
202692,4.615384615384615,1.5384615384615385,0.7692307692307693,6.0,4.2,1.4,0.8,1,13,2,15,5,0
202692,5.357142857142857,1.7857142857142858,0.7142857142857143,7.0,6.4,2.0,0.8,0,14,1,12,2,1
202692,5.8,1.8,0.7333333333333333,7.9,8.6,2.2,1.0,1,15,1,16,0,1
202692,6.4375,1.6875,0.75,8.1,10.6,1.8,0.8,1,16,7,6,2,1
202692,6.411764705882353,1.7058823529411764,0.7647058823529411,7.3,10.8,2.0,1.0,1,17,1,10,3,1
202692,6.611111111111111,1.7777777777777777,0.7777777777777778,8.0,11.8,2.4,0.8,0,18,2,25,7,2
202692,7.578947368421052,2.0526315789473686,0.8421052631578947,10.1,13.8,2.8,1.2,1,19,2,22,2,1
202692,8.3,2.05,0.85,12.2,15.8,2.8,1.2,0,20,1,5,1,2
202692,8.142857142857142,2.0,0.9047619047619048,12.1,13.6,3.0,1.4,0,21,1,13,3,0
202692,8.363636363636363,2.0454545454545454,0.8636363636363636,12.9,15.0,3.2,1.2,0,22,7,7,1,1
202692,8.304347826086957,2.0,0.8695652173913043,13.1,14.4,2.8,1.2,1,23,1,7,3,0
202692,8.25,2.0416666666666665,0.8333333333333334,12.3,10.8,2.0,0.8,1,24,1,7,1,1
202692,8.2,2.0,0.84,11.8,7.8,1.8,0.8,1,25,0,2,2,1
202692,7.961538461538462,2.0,0.8461538461538461,10.4,7.2,2.0,0.6,1,26,1,5,2,1
202692,7.851851851851852,2.0,0.8518518518518519,10.3,5.6,1.8,0.8,0,27,0,21,2,2
